dim_browser,dim_deviceCategory,dim_date,sessions,transactions,QTY
Safari,tablet,7/1/12,2928,127,221
Internet Explorer,desktop,7/1/12,1106,28,0
Chrome,tablet,7/1/12,474,3,13
Amazon Silk,tablet,7/1/12,235,4,5
Internet Explorer,mobile,7/1/12,178,6,11
Internet Explorer,tablet,7/1/12,120,7,0
Android Browser,mobile,7/1/12,10,0,0
error,desktop,7/1/12,9,0,0
Edge,mobile,7/1/12,5,0,0
Opera,mobile,7/1/12,4,0,0
UC Browser,mobile,7/1/12,4,0,0
Opera,tablet,7/1/12,1,0,0
Puffin,desktop,7/1/12,1,0,0
SeaMonkey,desktop,7/1/12,1,0,0
(not set),mobile,7/1/12,0,0,0
BlackBerry,mobile,7/1/12,0,0,0
osee2unifiedRelease,mobile,7/1/12,0,0,0
Safari,tablet,7/2/12,6624,261,494
Chrome,desktop,7/2/12,5953,120,272
Safari (in-app),mobile,7/2/12,1090,4,4
Android Webview,mobile,7/2/12,946,0,0
Amazon Silk,tablet,7/2/12,432,21,31
Samsung Internet,mobile,7/2/12,260,3,8
Android Webview,tablet,7/2/12,61,0,0
Samsung Internet,tablet,7/2/12,48,3,3
Firefox,mobile,7/2/12,40,0,0
DESKTOP,desktop,7/2/12,37,0,0
Android Browser,mobile,7/2/12,21,0,0
BlackBerry,mobile,7/2/12,14,0,0
error,desktop,7/2/12,9,0,0
Mozilla Compatible Agent,desktop,7/2/12,3,0,0
(not set),mobile,7/2/12,2,0,0
Amazon Silk,desktop,7/2/12,1,0,0
SeaMonkey,desktop,7/2/12,1,0,0
Apple-iPhone7C2,desktop,7/2/12,0,0,0
Safari,mobile,7/3/12,14196,188,311
Chrome,desktop,7/3/12,10218,294,592
Safari,tablet,7/3/12,6502,160,303
Safari,desktop,7/3/12,3787,203,331
Samsung Internet,mobile,7/3/12,869,1,3
Android Webview,mobile,7/3/12,86,0,0
Opera,desktop,7/3/12,23,0,1
Internet Explorer,mobile,7/3/12,20,0,0
error,desktop,7/3/12,4,0,0
Edge,mobile,7/3/12,3,0,0
Opera,tablet,7/3/12,2,0,0
Amazon Silk,mobile,7/3/12,1,0,0
Iron,mobile,7/3/12,0,0,0
Maxthon,desktop,7/3/12,0,0,0
Mozilla,desktop,7/3/12,0,0,0
Safari,mobile,7/4/12,20546,151,257
Chrome,desktop,7/4/12,8788,188,382
Safari,desktop,7/4/12,7759,563,1115
Internet Explorer,desktop,7/4/12,1940,107,223
Safari (in-app),mobile,7/4/12,1710,14,12
Edge,desktop,7/4/12,857,55,88
Safari (in-app),tablet,7/4/12,541,2,4
Android Webview,mobile,7/4/12,252,0,1
Samsung Internet,mobile,7/4/12,92,1,0
Internet Explorer,tablet,7/4/12,68,10,0
Opera,desktop,7/4/12,18,1,0
Internet Explorer,mobile,7/4/12,10,0,0
BlackBerry,mobile,7/4/12,9,0,0
Android Browser,mobile,7/4/12,5,0,0
error,desktop,7/4/12,2,0,0
MRCHROME,desktop,7/4/12,2,0,0
YelpWebView,mobile,7/4/12,2,0,0
BlackBerry,tablet,7/4/12,1,0,0
Iron,mobile,7/4/12,1,0,0
Opera,tablet,7/4/12,1,0,0
Chrome,desktop,7/5/12,29361,385,713
Safari,mobile,7/5/12,17649,152,227
Safari,tablet,7/5/12,11605,227,537
Internet Explorer,desktop,7/5/12,2030,146,132
Chrome,tablet,7/5/12,877,31,53
Firefox,desktop,7/5/12,710,22,38
Internet Explorer,tablet,7/5/12,166,6,22
Amazon Silk,tablet,7/5/12,109,2,1
Android Webview,tablet,7/5/12,81,0,0
Amazon Silk,mobile,7/5/12,9,0,0
UC Browser,mobile,7/5/12,5,0,0
Android Webview,desktop,7/5/12,3,0,0
Maxthon,desktop,7/5/12,3,0,0
Edge,mobile,7/5/12,2,0,0
error,desktop,7/5/12,2,0,0
Opera Mini,mobile,7/5/12,1,0,0
Edge,tablet,7/5/12,0,0,0
Opera,tablet,7/5/12,0,0,0
Chrome,desktop,7/6/12,35412,304,474
Safari,tablet,7/6/12,13121,620,993
Safari,mobile,7/6/12,7468,64,119
Internet Explorer,desktop,7/6/12,966,40,0
Edge,desktop,7/6/12,822,11,8
Safari (in-app),tablet,7/6/12,569,6,6
Internet Explorer,tablet,7/6/12,253,9,0
Android Webview,mobile,7/6/12,235,0,0
Firefox,mobile,7/6/12,55,0,0
Internet Explorer,mobile,7/6/12,22,0,0
error,desktop,7/6/12,12,0,0
SeaMonkey,desktop,7/6/12,8,0,0
Edge,mobile,7/6/12,6,0,0
Mozilla Compatible Agent,desktop,7/6/12,1,0,0
Opera,tablet,7/6/12,1,0,0
Opera Mini,mobile,7/6/12,1,0,0
Amazon Silk,mobile,7/6/12,0,0,0
Safari,desktop,7/7/12,8949,352,523
Chrome,mobile,7/7/12,4200,54,104
Chrome,desktop,7/7/12,3282,76,156
Safari (in-app),tablet,7/7/12,761,5,6
Edge,desktop,7/7/12,591,14,13
Safari (in-app),mobile,7/7/12,350,0,0
Amazon Silk,tablet,7/7/12,288,6,12
Android Webview,mobile,7/7/12,126,0,0
Opera,desktop,7/7/12,31,0,0
error,desktop,7/7/12,9,0,0
UC Browser,mobile,7/7/12,4,0,0
SeaMonkey,desktop,7/7/12,3,0,0
Seznam,desktop,7/7/12,3,0,0
Mozilla Compatible Agent,desktop,7/7/12,1,0,0
Puffin,mobile,7/7/12,0,0,0
Safari,mobile,7/8/12,11259,206,412
Safari,tablet,7/8/12,7222,186,339
Chrome,desktop,7/8/12,7171,277,379
Internet Explorer,desktop,7/8/12,2898,159,0
Safari (in-app),tablet,7/8/12,2594,34,54
Safari,desktop,7/8/12,2492,97,228
